Column,Data Type,Missing Count,Missing %,Empty Values,Infinite Values
DIntPktAct,float64,0,0.0,0,0
Seq,int64,0,0.0,0,0
SrcLoss,int64,0,0.0,0,0
TotPkts,int64,0,0.0,0,0
dMeanPktSz,float64,0,0.0,0,0
DstWin,float64,0,0.0,0,0
Mean,float64,0,0.0,0,0
RunTime,float64,0,0.0,0,0
SIntPktMax,float64,0,0.0,0,0
SIntPktIdl,float64,0,0.0,0,0
DIntPktMin,float64,0,0.0,0,0
Sdaddr,int64,0,0.0,0,0
DAppBytes,int64,0,0.0,0,0
Sport,float64,0,0.0,0,0
DstPkts,int64,0,0.0,0,0
Offset,int64,0,0.0,0,0
DstRate,float64,0,0.0,0,0
PCRatio,float64,0,0.0,0,0
DIntPktMax,float64,0,0.0,0,0
DIntPkt,float64,0,0.0,0,0
TotAppByte,int64,0,0.0,0,0
SynAck,float64,0,0.0,0,0
Dport,float64,0,0.0,0,0
Rate,float64,0,0.0,0,0
SrcRate,float64,0,0.0,0,0
SrcLoad,float64,0,0.0,0,0
DstTCPBase,float64,0,0.0,0,0
sMeanPktSz,float64,0,0.0,0,0
SrcBytes,int64,0,0.0,0,0
Dur,float64,0,0.0,0,0
sMinPktSz,float64,0,0.0,0,0
Ssaddr,int64,0,0.0,0,0
sTos,float64,0,0.0,0,0
SrcJitter,float64,0,0.0,0,0
DstLoss,int64,0,0.0,0,0
TotBytes,int64,0,0.0,0,0
Loss,int64,0,0.0,0,0
SIntPktMin,float64,0,0.0,0,0
SrcWin,float64,0,0.0,0,0
pLoss,float64,0,0.0,0,0
SIntPktAct,float64,0,0.0,0,0
SrcPkts,int64,0,0.0,0,0
AckDat,float64,0,0.0,0,0
Load,float64,0,0.0,0,0
Min,float64,0,0.0,0,0
DstBytes,int64,0,0.0,0,0
Sum,float64,0,0.0,0,0
SIntPkt,float64,0,0.0,0,0
Max,float64,0,0.0,0,0
sTtl,float64,0,0.0,0,0
sMaxPktSz,float64,0,0.0,0,0
dMaxPktSz,float64,0,0.0,0,0
sHops,float64,0,0.0,0,0
SrcTCPBase,float64,0,0.0,0,0
TcpRtt,float64,0,0.0,0,0
dMinPktSz,float64,0,0.0,0,0
DstLoad,float64,0,0.0,0,0
SAppBytes,int64,0,0.0,0,0
Proto_arp,bool,0,0.0,0,0
Proto_icmp,bool,0,0.0,0,0
Proto_ipv6-icmp,bool,0,0.0,0,0
Proto_tcp,bool,0,0.0,0,0
Proto_udp,bool,0,0.0,0,0
Flgs_e,bool,0,0.0,0,0
Flgs_e *,bool,0,0.0,0,0
Flgs_e d,bool,0,0.0,0,0
Flgs_e g,bool,0,0.0,0,0
Flgs_e r,bool,0,0.0,0,0
Flgs_e s,bool,0,0.0,0,0
Flgs_eU,bool,0,0.0,0,0
State_CLO,bool,0,0.0,0,0
State_CON,bool,0,0.0,0,0
State_ECO,bool,0,0.0,0,0
State_FIN,bool,0,0.0,0,0
State_INT,bool,0,0.0,0,0
State_NRS,bool,0,0.0,0,0
State_REQ,bool,0,0.0,0,0
State_RSP,object,368556,6.971195,0,0
State_RST,bool,0,0.0,0,0
State_TST,bool,0,0.0,0,0
State_URH,bool,0,0.0,0,0
State_URHPRO,bool,0,0.0,0,0
BinaryLabel,int64,0,0.0,0,0
CategoryLabel,str,0,0.0,0,0
SubCategoryLabel,str,0,0.0,0,0
DstJitter,float64,4310352,81.529821,0,0
SrcJitAct,float64,4310352,81.529821,0,0
DstJitAct,float64,4918285,93.028805,0,0
